timestamp,src_ip,dst_ip,src_port,dst_port,protocol,prediction,confidence,alert_level
2025-04-21 21:57:27,192.168.36.175,34.139.124.58,55421,443,TCP,NORMAL,0.9999,HIGH
2025-04-21 21:57:28,34.139.124.58,192.168.36.175,443,55421,TCP,NORMAL,0.9988,HIGH
2025-04-21 21:57:29,192.168.36.175,140.82.112.26,54174,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:57:31,140.82.112.26,192.168.36.175,443,54174,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:57:32,192.168.36.175,35.201.127.49,50923,443,UDP,NORMAL,1.0000,HIGH
2025-04-21 21:57:33,35.201.127.49,192.168.36.175,443,50923,UDP,NORMAL,0.9993,HIGH
2025-04-21 21:57:34,192.168.36.175,35.201.127.49,55415,443,TCP,NORMAL,0.9998,HIGH
2025-04-21 21:57:35,35.201.127.49,192.168.36.175,443,55415,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:57:38,192.168.36.175,35.174.127.31,54018,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:57:40,35.174.127.31,192.168.36.175,443,54018,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:57:41,192.168.36.175,108.158.251.60,55376,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:57:42,192.168.36.175,18.67.156.207,55377,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:57:43,18.67.156.207,192.168.36.175,443,55377,TCP,NORMAL,0.9990,HIGH
2025-04-21 21:57:44,108.158.251.60,192.168.36.175,443,55376,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:57:46,192.168.36.175,34.237.108.126,55381,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:57:47,192.168.36.175,35.201.127.49,55417,443,TCP,NORMAL,0.9999,HIGH
2025-04-21 21:57:48,35.201.127.49,192.168.36.175,443,55417,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:57:50,192.168.36.175,172.67.73.98,55292,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:57:51,172.67.73.98,192.168.36.175,443,55292,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:57:52,192.168.36.175,34.139.124.58,55421,443,TCP,NORMAL,0.9988,HIGH
2025-04-21 21:57:53,34.139.124.58,192.168.36.175,443,55421,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:57:55,192.168.36.175,140.82.113.26,54525,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:57:56,140.82.113.26,192.168.36.175,443,54525,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:57:57,192.168.36.175,140.82.112.26,54174,443,TCP,NORMAL,0.9989,HIGH
2025-04-21 21:57:58,140.82.112.26,192.168.36.175,443,54174,TCP,NORMAL,0.9993,HIGH
2025-04-21 21:57:59,192.168.36.175,224.0.0.251,5353,5353,UDP,NORMAL,0.9993,HIGH
2025-04-21 21:58:01,192.168.36.175,35.201.127.49,58283,443,UDP,NORMAL,1.0000,HIGH
2025-04-21 21:58:02,35.201.127.49,192.168.36.175,443,58283,UDP,NORMAL,0.9993,HIGH
2025-04-21 21:58:03,192.168.36.175,52.182.143.215,55428,443,TCP,NORMAL,0.9999,HIGH
2025-04-21 21:58:04,192.168.36.175,52.182.143.215,55429,443,TCP,NORMAL,0.9999,HIGH
